symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
BELFB,electronictechnology,cs,15.42,100,18.68,100,1657808079206,17.02,200,1657808051184,409
KNSW=,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
KSICW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
PTIC,n/a,n/a,9.86,500,9.88,200,1657808972504,0.0,0,0,0
QQQJ,miscellaneous,et,21.18,100,24.9,100,1657807251215,23.09,1,1657806702587,101
MMLG,miscellaneous,et,13.48,100,18.16,100,1657806300239,0.0,0,0,0
SPKBW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
ZYXI,healthtechnology,cs,6.6,100,7.74,100,1657809000308,7.215,116,1657808186081,952
CRL,commercialservices,cs,204.27,101,221.68,113,1657809006178,204.74,39,1657808944072,3815
USTB,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
IMCC,n/a,n/a,0.598,100,0.7344,100,1657807653441,0.0,0,0,0
FLLA,miscellaneous,et,0.0,0,0.0,0,1657805400000,17.78,76,1657808201219,76
ASAI,n/a,n/a,14.08,100,14.14,900,1657809006352,14.08,80,1657808017884,382
AYX,technologyservices,cs,42.84,100,46.63,300,1657809004991,46.555,100,1657809005139,3580
TVC,finance,ps,20.43,100,24.08,100,1657806874729,0.0,0,0,0
ACTV,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
DAUG,miscellaneous,et,25.81,100,34.95,100,1657806354791,0.0,0,0,0
CWCO,utilities,cs,12.5,100,14.72,104,1657808414294,13.61,4,1657808262432,84
VLDR,electronictechnology,cs,0.953,300,1.05,100,1657808375772,0.9619,100,1657808042317,4287
MNRO,retailtrade,cs,45.04,100,48.88,133,1657809003499,44.965,100,1657808716314,5199
OPP,miscellaneous,cef,10.22,100,11.06,100,1657808986616,11.14,78,1657806352723,178
WSO.B,producermanufacturing,cs,0.0,0,0.0,0,1657805400000,0.0,0,0,0
IPO,miscellaneous,et,27.53,100,32.57,100,1657807556087,0.0,0,0,0
ETW,miscellaneous,cef,8.34,200,9.09,100,1657809001425,8.35,800,1657808575409,2538
ALSAW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
ERIE,finance,cs,189.57,366,208.66,101,1657808923315,190.85,2,1657808237923,659
