symbol,price,size,time
UNF,174.97,1,1657828791297
VINCU,27.0,100,1611779030775
CFFEU,10.14,80,1654015534843
NXC,13.82,100,1657641831614
TRPX,0.3236,46,1593633593855
MACC,9.78,100,1657039292233
EPHY,9.85,100,1657826368312
AKS,1.605,500,1584043193012
APTS,24.995,85,1656014392878
CAR,150.86,93,1657828798170
MBOX,24.03,5,1657741523764
FTRI,12.13,92,1657828791501
ADRE,38.9,2,1655913695659
SPKAR,0.2899,100,1644850392175
ITUB,4.0,1190,1657828791265
BAC-E,20.2,55,1657828472545
WEAT,8.195,100,1657822645499
HNP,21.51,39,1657223986271
DRH-A,25.51,25,1657633284007
CTAQU,9.87,140,1653496558316
SLAMU,9.86,78,1657805453086
PEZ,62.28,80,1657739817427
PCAR,79.08,33,1657828798129
VPG,27.7,1,1657828789841
NJV,14.47,100,1614875514896
DLY,14.05,100,1657828733352
XAN-C,24.26,100,1613505939366
CCR,4.63,100,1609263104658
CRHC+,0.37,100,1657805574894
RICE=,17.65,200,1629745263105
KN,17.64,1,1657828796038
PSM,24.85,1,1602521811476
APRE,1.035,200,1657828745099
KCCB,38.27,100,1627395959369
GCVRZ,0.8702,2400,1583255192180
ARES,58.62,3,1657828796855
FLSP,21.27,12,1657825657289
THBRW,2.48,100,1623355034353
ATU,21.87,27,1570219193108
UAUD,15.81,100,1603819367802
TGNA,19.6,2,1657828792732
TX,30.76,1,1657828778091
AACI,9.84,1,1656013831457
COVAW,0.1004,100,1657739369295
LABU,8.62,200,1657828792047
AMHCW,1.56,39,1632508310300
NSTG,13.15,41,1657828795411
CODI-A,24.6,219,1657827154357
IRBO,25.9,100,1657827107368
BENEU,10.61,200,1655409121804
RSX,5.75,54,1646427721194
LRNZ,29.335,1,1657136701819
QXTR,23.95,100,1548443239301
DTE,124.535,51,1657828798004
PDOT,9.83,24,1657827219670
IBHB,23.98,100,1657642982735
CLNN,4.13,200,1657829149730
CYCCP,6.12,100,1655401733085
FEXD,10.01,11,1657816287610
HIL,1.78,100,1657655777877
DIT,165.5,1,1657809335627
PML,11.17,100,1657819004443
ACRO+,0.16,23900,1657807203339
ITQ,9.83,100,1657300076483
CBB,15.49,4,1630699191956
AVTR-A,91.13,167,1652471996005
PFLT,11.995,200,1657828786504
PRIF-L,22.93,50,1657740278530
PFFL,12.705,2,1656086704185
KTH,29.93,100,1657310345797
BRKHW,0.076,300,1657130801757
ESUS,16.26,10,1655323195138
HFRO-A,22.55,1,1657809435061
GHRS,11.05,8,1657828785921
SYG,117.55,42,1615832415238
IPOB=,33.99,100,1608307846021
CFFSW,0.11,100,1656010996598
VVOS,1.43,25,1657828012575
ADF,10.62,100,1638478687391
LGVW,23.04,100,1613163596458
CACI,280.63,80,1657828795012
QRTEA,2.11,2,1657828777785
HRB,36.75,1,1657828796676
NSTS,10.88,100,1657310229003
OAK,51.58,100,1569614389187
CXDO,3.0,4,1657742397305
SFM,26.77,132,1657828798125
OPGN,0.55,100,1657828785705
AEHL,1.04,100,1657813518885
QTR,19.46,100,1655308369451
ITE,62.21,200,1569002804997
ACAHW,0.17,100,1653059645371
MAAQU,9.75,100,1656689801137
NM-G,13.09,1,1657297661389
FDRR,38.54,200,1657822803500
FRC-J,20.28,99,1657634411013
IVRA,13.57,1,1656516717373
EVT,24.05,100,1657828580457
GGN,3.245,436,1657828787249
CVTI,13.88,185,1593719854931
ABR-F,19.96,100,1657821787088
FFA,16.26,100,1657823305914
MCX,25.065,100,1605719065133
ROCC,29.9,110,1657828798115
BAC-L,1226.95,1,1657827712205
CMA,71.52,100,1657828798680
AESE,1.55,100,1657654724905
PRT,7.94,5,1657828770677
ADBE,372.95,100,1657828798468
USMC,36.68,5,1657828608195
CUBS,20.81,100,1657569575656
GLOP-C,24.66,100,1657742224517
TBRG,13.28,100,1562875194293
GLT,6.555,59,1657828794746
CQP,41.47,33,1657828790413
WLK,90.95,3,1657828796340
IPAX,9.69,100,1657298279822
PMGM,9.81,100,1657828785265
NRG,36.265,200,1657828799070
FXB,113.31,237,1657811020090
JRI,12.71,113,1657828750007
USB-S,20.68,6,1657805778951
PSO,8.975,140,1657828793070
INDO,6.68,100,1657827381387
RVLV,26.55,1,1657828795678
RGTIW,0.72,300,1657722148663
NEA,12.21,5,1657828799146
TGC,2.49,100,1614373135652
ASB-D,24.99,100,1631204779728
MUDS,10.095,100,1657828733380
CHIC,15.17,50,1657813078346
AGCWW,3.58,200,1638392371992
IHD,5.44,100,1657822666019
UBCB,19.09,100,1657826523859
VAR,177.07,42,1618430397252
GFY,16.3,500,1604685212713
ZIMV,17.43,100,1657828773364
TUR,17.895,50,1657828789656
SPGS,9.82,71,1657641066782
TBND,23.45,116,1605126834882
FXF,91.025,1,1657828436366
SPTK,9.83,1,1657720346686
ADERU,10.09,1000,1650311113184
PALI,0.4849,8,1657821310127
AVAC,9.99,1500,1657644216976
RGR,63.74,3,1657828921003
STPK,26.61,100,1619639942300
SCU,8.36,200,1657828756246
SABR,5.58,5,1657828795070
ACN,268.61,6,1657828799840
JHAA,9.03,100,1657565270932
DSE,9.58,7,1624304222492
HCXY,25.61,100,1655133067259
MRACW,1.33,100,1634229680328
ASPN,9.82,1,1657828795819
PSTH+,0.28,2400,1657809748797
JGGCU,10.11,97,1654621077010
TWMC,7.905,100,1599244552525
DBI,13.03,6,1657828796025
SPAQ,6.485,80,1647460417071
BOKF,71.55,78,1657828798139
AAM-B,24.85,100,1657827956349
DEX,7.39,78,1657828769662
IEA,8.54,8,1657828795545
BAC-B,25.51,143,1657815983061
GRTX,1.17,100,1657826130472
ACBI,32.36,3,1646081998673
SCLE,9.87,100,1657823790198
VTGN,0.863,38,1657828796546
YOGA,0.1692,399,1564582911316
IVLC,11.87,10,1656446370382
RWGE+,0.1,300,1574105333706
FTIVW,2.88,180,1624558348794
CRWD,172.7,11,1657828795499
CCU,10.985,200,1657828774523
SV,9.99,92,1651521598568
TMAC,9.83,86,1657807182140
DAO,4.39,2,1657829999598
PFXNL,25.03,100,1657124381817
VVNT+,8.13,100,1609791899759
FDS,396.675,7,1657828791865
MRAD,15.06,50,1654873474314
CLRBZ,0.2321,100,1617911781456
VYNE,0.465,81,1657828774479
ARKX,13.08,100,1657810803401
BDGE,24.48,123,1611953996245
SLVO,3.83,30,1657829964752
EVLV,2.58,375,1657831682230
CBS,40.72,400,1575493198844
SILK,36.99,94,1657828798890
BOIL,56.8,100,1657828756382
CLNY-G,25.42,100,1623182334038
UCOM,42.68,100,1559753575474
FSEC,44.43,1,1657739428248
AKP,14.835,5,1556827152703
UPLD,12.465,100,1657828796425
JHMH,45.13,16,1657814164011
VIEW,1.8,150,1657828798077
IBHD,22.24,100,1657818336717
WHLRL,28.01,100,1657808182251
PRFT,89.56,1,1657828796763
STT-C*,24.945,100,1584043015647
ROLL,204.47,19,1657828799580
COMT,37.91,1,1657830896634
ESAC,10.04,13,1657655964210
BID,56.99,100,1570046398023
ASRT,2.79,100,1657828779824
IAU,32.47,300,1657830207290
SGHLW,0.198,100,1649879675256
PKE,11.95,2,1657828923458
AMPI=,9.8,200,1654542014608
ESV,8.275,100,1564516795508
COMS,0.1536,100,1657828670393
DHVW,32.32,100,1553624341745
MLCO,4.81,6322,1657828792918
VEGN,32.72,6,1657569594026
DEAC,17.47,4,1587671982014
TTT,55.93,50,1657828780786
BT,10.565,100,1568404746578
NXR,16.6,100,1638459218231
USG,43.49,900,1556049597923
PFHC,14.23,32,1657828798372
NSEC,16.32,3,1656006841175
CRVL,146.89,4,1657828775399
NWN,51.78,1,1657830275302
RM,38.32,1,1657828788967
RMMZ,17.01,100,1657813522272
JIRE,46.77,106,1657817140315
SHAP=,10.05,100,1657828455837
TYNS,28.18,100,1547565707117
BATRK,25.08,2,1657828795063
VHNA,9.98,100,1656618039098
RPV,72.16,1,1657829057956
NTSE,28.34,73,1657133266720
GHYB,42.395,40,1657827450112
ACVA,6.35,62,1657828795680
GLG,0.259,75,1657734011096
TRVI,3.41,100,1657828796545
CNSP,0.2702,100,1657734956988
GET,1.64,500,1657741980588
GDXX,51.38,100,1564762763017
KBWP,79.685,6,1657742382003
GMFIW,0.155,1900,1648659689105
PCM,9.47,100,1657806714615
FTXG,25.68,100,1657824177405
SAVN,8.96,100,1657219197945
ATEK,9.81,200,1655148436357
ED,91.89,1,1657828945738
UCIB,22.8,80,1657739667191
RDIB,20.02,1,1657828786878
TPGY+,0.2723,200,1657805403161
ANAC=,9.81,900,1655404810074
CROX,52.81,54,1657828798151
PRPB+,0.5,400,1657817440827
LOCC+,0.22,100,1657132312823
ARQQW,0.8001,4,1657806999582
OZKAP,19.175,73,1657647227826
LBTYB,22.58,1,1656430811213
HERAU,9.84,100,1657814817624
RCRT,1.2,200,1657828708084
HWBK,25.55,3,1657654081634
QTNT,0.299,100,1657828671385
UTAAU,10.1,240,1655139796311
BELFA,22.73,91,1657825820925
DBMF,32.36,108,1657828785793
ICUI,162.81,50,1657828798936
KRON,4.82,69,1657828796551
RILYN,24.35,100,1657823688780
GCACU,10.16,100,1643741708630
SNV-E,24.67,5,1657820652473
WTREP,25.08,100,1625664621547
EFO,31.83,100,1657137345619
BCSF^,0.2849,100,1591300410149
HP,38.32,49,1657828792642
QTJA,18.11,100,1657048471145
GIGGU,9.92,200,1638477364348
DOCT,30.37,100,1657826587227
FIXD,46.43,2,1657828758336
IGICW,0.5,100,1656699365403
LCI,0.5741,3,1657828210264
PWUP,9.98,400,1656601843900
DUNEW,0.09,100,1656006663485
SUNW,1.635,20,1657828761070
RRTS,1.955,100,1587067074024
APLD,0.8999,31,1657828787453
MLNX,124.91,100,1587758368185
SIXO,24.09,22,1657719799373
OND,21.535,75,1651681623203
PWZ,24.79,33,1657828623102
FXD,45.18,100,1657819090364
RODE,24.08,10,1657655795517
DHHCU,9.85,100,1657720716483
DORM,112.05,100,1657828790229
KTTA,1.03,100,1657823536558
EACPW,0.1249,50,1657217985172
TWI,13.72,24,1657828790972
CFIVW,0.0918,100,1657812306877
AVO,14.52,200,1657828796429
WFE-A*,25.3,137,1575654485992
PGSS=,10.11,100,1657811594059
VIG,142.97,150,1657828777283
EMXF,35.2,100,1657725659584
NUMG,34.375,62,1657828785992
WFC-A,19.83,70,1657824842079
BXRXV,4.65,100,1574369899520
